Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,ClassDataShouldBePrivate,ComplexClass,FunctionalDecomposition,GodClass,SpaghettiCode,MAINTAINABILITY
72bce0d0d141659a11f535b6ee3f903e6954ec3b,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
72bce0d0d141659a11f535b6ee3f903e6954ec3b,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,1,1,FALSE
72bce0d0d141659a11f535b6ee3f903e6954ec3b,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
849a3880037a6f8018d9ace5393c7168be654c0c,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
849a3880037a6f8018d9ace5393c7168be654c0c,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
849a3880037a6f8018d9ace5393c7168be654c0c,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
849a3880037a6f8018d9ace5393c7168be654c0c,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
8217d359e077c2f73c4596e0e7c4445b2bab9401,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
8217d359e077c2f73c4596e0e7c4445b2bab9401,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
8217d359e077c2f73c4596e0e7c4445b2bab9401,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
8217d359e077c2f73c4596e0e7c4445b2bab9401,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
