Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,MESSAGE
ee260eb1e4ef12d1cba81de13bab566e7e09b4cc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31941] Update visualVM to build 1046."
cfc061877bbf47d951e4d0b31f0268a5a060ce56,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"The default static object super class is Object. The GeneratorClassLoader is now a child of the one used to load the factory interface."
c7a1b5b4e7a5cf4f2fdb8e1fece6f714f6853129,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Describe how class loaders of the factory and of the storage super class  are validated.
68cada21dde7b2da3b51d920d6e503d6d5f2e7b6,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Improve validation of factory interface and object super class. And add tests."
63f56c1d480f58f62e6e05e414ed3ba15f3f0f9b,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Document public classes and methods of the Static Object Model.
7c36816889bb1b0a6b6d9d78add3c2aa4fe8a7eb,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Print image output to stdout for build statistics
3061677b82f3a44d7580db187d6bc08f05f7d24a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-24662] Jsonnet improvements in benchmark definitions."
21b1048e751226bfd9b41f6464b69c604ff71c05,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Fix invalid code ""this"" @CachedLibrary expressions."
14973f1abeb2ceb767e78258a160f8b6323e09f1,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Clear specialization class instance always for multiple instances in resetAOT.
685370d105b31fbf1cf0200dd9871f3a6175979c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Address first round of feedback.
8a5194b2ee3fbf07add2f4f3a3999bba8d6ea828,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31177] Support iterators and hashes in debugger API."
617d8b52d8f9f25a3d4a6c3093e4f94ecd9d5eec,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,InvocationPlugins for methods with more args.
e2c5ebd48b6aea00f3b66f78669e56b154fd2637,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix ECJ warnings.
798a9c8e5a2dafe943068a38c943e7f93fd01a4f,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,More cleanups and minor fixes.
253c51a0611a0f346028fe90641ef4ddb95c1336,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Merge with master.
662602da9cacd3d5dde9d34b34e8c0a29f0882f1,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Minor fix after merge.
a59bbb23ba1b30c72243d49aadef1d049b7fca76,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Be more robust when running with SubstrateVM.
067cc14dc28bb6a2b64818328f75ff29d89b1d2f,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix formatting.
519438f2d3dd0fbf527ccd7b7e94691aeae9f733,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix and language or context references should be usable in AOT prepared specialization.
aa66a7456706c867439e512c6d5dd67bf16d4206,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Validate basic guaranteed recursion.
3649a2114bdd161c5fac634ffaa151d5af1c0b19,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Use a simplified implementation for the IGV constant pool
